Lexie's opinion!,,class,label,description
,1489,completion.title_iv.male.transf_unknown_2yr_by.2yrs,MALE_UNKN_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 2 years
,1490,completion.title_iv.unknown_by.6yrs,UNKN_ORIG_YR6_RT,Percent with status unknown within 6 years at original institution
,1491,earnings.7_yrs_after_entry.mean_earnings,mn_earn_wne_p7,Mean earnings of students working and not enrolled 7 years after entry
,1492,repayment.7_yr_repayment.male_students,MALE_RPY_7YR_N,Number of students in the 7-year repayment rate of male students cohort
,1493,completion.title_iv.not_first_gen.transf_still_enrolled_4yr_by.6yrs,NOT1STGEN_ENRL_4YR_TRANS_YR6_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 6 years
,1494,completion.title_iv.depend.transf_withdrawn_2yr_by.4yrs,DEP_WDRAW_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and withdrew within 4 years
,1495,earnings.6_yrs_after_entry.mean_earnings.independent_students,mn_earn_wne_indep1_p6,Mean earnings of independent students working and not enrolled 6 years after entry
,1496,academics.program_percentage.engineering_technology,PCIP15,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.
,1497,academics.program.certificate_lt_2_yr.psychology,CIP42CERT2,Certificate of at least one but less than two academic years in Psychology.
,1498,completion.title_iv.first_gen.transf_still_enrolled_2yr_by.6yrs,FIRSTGEN_ENRL_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 6 years
,1499,completion.title_iv.female.transf_unknown_2yr_by.8yrs,FEMALE_UNKN_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 8 years
,1500,repayment.5_yr_repayment.independent_students,IND_RPY_5YR_N,Number of students in the 5-year repayment rate of independent students cohort
,1501,repayment.3_yr_repayment.first_generation_students,FIRSTGEN_RPY_3YR_N,Number of students in the 3-year repayment rate of first-generation students cohort
,1502,completion.title_iv.transf_completed_4yr_by.2yrs,COMP_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and completed within 2 years
,1503,earnings.8_yrs_after_entry.75th_percentile_earnings,pct75_earn_wne_p8,75th percentile of earnings of students working and not enrolled 8 years after entry
,1504,student.share_middleincome.30001_48000,INC_PCT_M2,"Aided students with family incomes between $48,001-$75,000 in nominal dollars"
,1505,earnings.8_yrs_after_entry.percent_greater_than_25000,gt_25k_p8,"Share of students earning over $25,000/year (threshold earnings) 8 years after entry"
,1506,completion.title_iv.high_inc.unknown_by.2yrs,HI_INC_UNKN_ORIG_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 2 years at original institution"
,1507,completion.title_iv.mid_inc.transf_still_enrolled_4yr_by.3yrs,MD_INC_ENRL_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years"
,1508,completion.title_iv.high_inc.completed_by.8yrs,HI_INC_COMP_ORIG_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 8 years at original institution"
,1509,completion.completion_rate_4yr_150_aian,C150_4_AIAN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students"
,1510,repayment.3_yr_repayment.overall,RPY_3YR_N,Number of students in the 3-year repayment rate cohort
,1511,academics.program.certificate_lt_4_yr.construction,CIP46CERT4,Award of more than two but less than four academic years in Construction Trades.
,1512,earnings.7_yrs_after_entry.std_dev,sd_earn_wne_p7,Standard deviation of earnings of students working and not enrolled 7 years after entry
,1513,completion.title_iv.female.transf_completed_2yr_by.8yrs,FEMALE_COMP_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and completed within 8 years
,1514,school.zip,ZIP,ZIP code
,1515,completion.title_iv.not_first_gen.withdrawn_by.8yrs,NOT1STGEN_WDRAW_ORIG_YR8_RT,Percent of not-first-generation students withdrawn from original institution within 8 years
,1516,completion.title_iv.no_pell.transf_unknown_4yr_by.4yrs,NOPELL_UNKN_4YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
,1517,completion.title_iv.loan_recip.completed_by.8yrs,LOAN_COMP_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and who completed in 8 years at original institution
,1518,completion.title_iv.pell_recip.transf_still_enrolled_4yr_by.3yrs,PELL_ENRL_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
,1519,completion.title_iv.independ.transf_completed_2yr_by.4yrs,IND_COMP_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and completed within 4 years
,1520,completion.completion_cohort_4yr_150nt_pooled,D150_4_POOLED,"Adjusted cohort count for completion rate at four-year institutions (denominator of completion rate), pooled for two-year rolling averages"
,1521,completion.title_iv.first_gen.unknown_by.6yrs,FIRSTGEN_UNKN_ORIG_YR6_RT,Percent of first-generation students with status unknown within 6 years at original institution
,1522,academics.program.certificate_lt_4_yr.mathematics,CIP27CERT4,Award of more than two but less than four academic years in Mathematics And Statistics.
,1523,completion.title_iv.high_inc.transf_withdrawn_2yr_by.8yrs,HI_INC_WDRAW_2YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 8 years"
,1524,completion.title_iv.female.transf_still_enrolled_4yr_by.8yrs,FEMALE_ENRL_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 8 years
,1525,completion.title_iv.pell_recip.transf_completed_2yr_by.3yrs,PELL_COMP_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years
,1526,school.accreditor,AccredAgency,Accreditor for institution
,1527,completion.title_iv.transf_completed_4yr_by.3yrs,COMP_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and completed within 3 years
,1528,student.parents_education_level,PAR_ED_N,Number of students in the parents' education level cohort
,1529,completion.title_iv.female.unknown_by.6yrs,FEMALE_UNKN_ORIG_YR6_RT,Percent of female students with status unknown within 6 years at original institution
,1530,completion.title_iv.male.completed_by.3yrs,MALE_COMP_ORIG_YR3_RT,Percent of male students who completed within 3 years at original institution
,1531,academics.program.bachelors.mechanic_repair_technology,CIP47BACHL,Bachelor's degree in Mechanic And Repair Technologies/Technicians.
,1532,student.avg_dependent_income.2014dollars,DEP_INC_AVG,Average family income of dependent students in real 2014 dollars.
,1533,completion.title_iv.male.transf_withdrawn_2yr_by.3yrs,MALE_WDRAW_2YR_TRANS_YR3_RT,Percent of male students who transferred to a 2-year institution and withdrew within 3 years
,1534,completion.title_iv.first_gen.withdrawn_by.3yrs,FIRSTGEN_WDRAW_ORIG_YR3_RT,Percent of first-generation students withdrawn from original institution within 3 years
,1535,repayment.5_yr_repayment.high_income,HI_INC_RPY_5YR_N,"Number of students in the 5-year repayment rate of high-income (above $75,000 in nominal family income) students cohort"
,1536,school.main_campus,main,Flag for main campus
,1537,completion.title_iv.first_gen.still_enrolled_by.4yrs,FIRSTGEN_ENRL_ORIG_YR4_RT,Percent of first-generation students who were still enrolled at original institution within 4 years
,1538,cost.net_price.program_reporter.by_income_level.0-30000,NPT41_PROG,"Average net price for $0-$30,000 family income (program-year institutions)"
,1539,completion.title_iv.mid_inc.transf_unknown_4yr_by.4yrs,MD_INC_UNKN_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 4 years"
,1540,completion.title_iv.no_loan.transf_unknown_2yr_by.4yrs,NOLOAN_UNKN_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 4 years
,1541,completion.title_iv.high_inc.transf_still_enrolled_4yr_by.6yrs,HI_INC_ENRL_4YR_TRANS_YR6_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 6 years"
,1542,completion.title_iv.mid_inc.unknown_by.3yrs,MD_INC_UNKN_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 3 years at original institution"
,1543,completion.title_iv.independ.transf_withdrawn_2yr_by.4yrs,IND_WDRAW_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 4 years
,1544,completion.title_iv.transf_withdrawn_2yr_by.3yrs,WDRAW_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and withdrew within 3 years
,1545,earnings.10_yrs_after_entry.working_not_enrolled.earnings_percentile.25,pct25_earn_wne_p10,25th percentile of earnings of students working and not enrolled 10 years after entry
,1546,repayment.7_yr_repayment.high_income,HI_INC_RPY_7YR_N,"Number of students in the 7-year repayment rate of high-income (above $75,000 in nominal family income) students cohort"
,1547,completion.title_iv.male.unknown_by.8yrs,MALE_UNKN_ORIG_YR8_RT,Percent of male students with status unknown within 8 years at original institution
,1548,completion.title_iv.depend.completed_by.2yrs,DEP_COMP_ORIG_YR2_RT,Percent of dependent students who completed within 2 years at original institution
,1549,location.lon,LONGITUDE,Longitude
,1550,school.state_fips,st_fips,FIPS code for state
,1551,completion.title_iv.female.transf_completed_4yr_by.8yrs,FEMALE_COMP_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and completed within 8 years
,1552,completion.title_iv.first_gen.withdrawn_by.4yrs,FIRSTGEN_WDRAW_ORIG_YR4_RT,Percent of first-generation students withdrawn from original institution within 4 years
,1553,completion.title_iv.independ.unknown_by.6yrs,IND_UNKN_ORIG_YR6_RT,Percent of independent students with status unknown within 6 years at original institution
,1554,completion.title_iv.depend.transf_completed_4yr_by.2yrs,DEP_COMP_4YR_TRANS_YR2_RT,Percent of dependent students who transferred to a 4-year institution and completed within 2 years
,1555,completion.title_iv.not_first_gen.transf_withdrawn_2yr_by.3yrs,NOT1STGEN_WDRAW_2YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 3 years
,1556,earnings.10_yrs_after_entry.working_not_enrolled.std_dev,sd_earn_wne_p10,Standard deviation of earnings of students working and not enrolled 10 years after entry
,1557,completion.title_iv.transf_completed_2yr_by.4yrs,COMP_2YR_TRANS_YR4_RT,Percent who transferred to a 2-year institution and completed within 4 years
,1558,completion.completion_rate_4yr_150_hispanic_pre2010,C150_4_HISPOld,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Hispanic students"
,1559,earnings.10_yrs_after_entry.working_not_enrolled.dependent_students,count_wne_indep0_p10,Number of dependent students working and not enrolled 10 years after entry
,1560,repayment.2_yr_default_rate,CDR2,Two-year cohort default rate
,1561,completion.3_yr_completion.high_income,HI_INC_YR3_N,"Number of high-income (above $75,000 in nominal family income) students in overall 3-year completion cohort"
,1562,completion.title_iv.no_loan.died_by.8yrs,NOLOAN_DEATH_YR8_RT,Percent of students who never received a federal loan at the institution and who died within 8 years at original institution
,1563,completion.title_iv.first_gen.transf_withdrawn_4yr_by.2yrs,FIRSTGEN_WDRAW_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 2 years 
